"participant","contact","period","estcon"
14,64,"4. School reopening",0.577667014
24,64,"4. School reopening",0.342610563
34,64,"4. School reopening",0.402513562
44,64,"4. School reopening",0.401999253
54,64,"4. School reopening",0.367328255
64,64,"4. School reopening",0.46548353
80,64,"4. School reopening",0.724270935
4,80,"4. School reopening",0.142129627
14,80,"4. School reopening",0.359594057
24,80,"4. School reopening",0.211260069
34,80,"4. School reopening",0.314458319
44,80,"4. School reopening",0.301752952
54,80,"4. School reopening",0.436446419
64,80,"4. School reopening",0.346029681
80,80,"4. School reopening",0.528159599
4,4,"5. Lockdown 2",1.335442033
14,4,"5. Lockdown 2",2.436424624
24,4,"5. Lockdown 2",1.265939387
34,4,"5. Lockdown 2",0.260843124
44,4,"5. Lockdown 2",0.71154691
54,4,"5. Lockdown 2",0.422783133
64,4,"5. Lockdown 2",0.14818017
80,4,"5. Lockdown 2",0.113107333
4,14,"5. Lockdown 2",1.587417153
14,14,"5. Lockdown 2",5.6602582535
24,14,"5. Lockdown 2",2.897474436
34,14,"5. Lockdown 2",0.3227713515
44,14,"5. Lockdown 2",0.4893198615
54,14,"5. Lockdown 2",0.650123689
64,14,"5. Lockdown 2",0.3989629025
80,14,"5. Lockdown 2",0.132070752
4,24,"5. Lockdown 2",0.667709052
14,24,"5. Lockdown 2",1.320100169
24,24,"5. Lockdown 2",0.907361989
34,24,"5. Lockdown 2",0.748107216
44,24,"5. Lockdown 2",0.469596349
54,24,"5. Lockdown 2",0.425969969
64,24,"5. Lockdown 2",0.47884621
80,24,"5. Lockdown 2",0.351725161
4,34,"5. Lockdown 2",1.685275183
14,34,"5. Lockdown 2",1.747670085
24,34,"5. Lockdown 2",0.775502248
34,34,"5. Lockdown 2",0.434494345
44,34,"5. Lockdown 2",0.603033126
54,34,"5. Lockdown 2",0.522440289
64,34,"5. Lockdown 2",0.401706535
80,34,"5. Lockdown 2",0.3729744
4,44,"5. Lockdown 2",0.926931191
14,44,"5. Lockdown 2",2.205283139
24,44,"5. Lockdown 2",1.220769739
34,44,"5. Lockdown 2",0.364838746
44,44,"5. Lockdown 2",0.483614392
54,44,"5. Lockdown 2",0.598708319
64,44,"5. Lockdown 2",0.49084273
80,44,"5. Lockdown 2",0.322108106
4,54,"5. Lockdown 2",0.34637
14,54,"5. Lockdown 2",1.48895869
24,54,"5. Lockdown 2",1.019156536
34,54,"5. Lockdown 2",0.437258604
44,54,"5. Lockdown 2",0.396453074
54,54,"5. Lockdown 2",0.523314418
64,54,"5. Lockdown 2",0.667716206
80,54,"5. Lockdown 2",0.435113433
4,64,"5. Lockdown 2",0.210011469
14,64,"5. Lockdown 2",0.385299193
24,64,"5. Lockdown 2",0.238226446
34,64,"5. Lockdown 2",0.255121945
44,64,"5. Lockdown 2",0.292390991
54,64,"5. Lockdown 2",0.272787246
64,64,"5. Lockdown 2",0.345624533
80,64,"5. Lockdown 2",0.607230455
4,80,"5. Lockdown 2",0.088164776
14,80,"5. Lockdown 2",0.17338091
24,80,"5. Lockdown 2",0.063201826
34,80,"5. Lockdown 2",0.146967713
44,80,"5. Lockdown 2",0.236809146
54,80,"5. Lockdown 2",0.265484745
64,80,"5. Lockdown 2",0.295427311
80,80,"5. Lockdown 2",0.423165842
4,4,"6. Lockdown 2 easing",1.24666856
14,4,"6. Lockdown 2 easing",2.558509774
24,4,"6. Lockdown 2 easing",1.229408057
34,4,"6. Lockdown 2 easing",0.327805071
44,4,"6. Lockdown 2 easing",0.710844491
54,4,"6. Lockdown 2 easing",0.380933927
64,4,"6. Lockdown 2 easing",0.165966389
80,4,"6. Lockdown 2 easing",0.119904127
4,14,"6. Lockdown 2 easing",1.682243977
14,14,"6. Lockdown 2 easing",6.1040171205
24,14,"6. Lockdown 2 easing",3.0619781155
34,14,"6. Lockdown 2 easing",0.400105523
44,14,"6. Lockdown 2 easing",0.52311074
54,14,"6. Lockdown 2 easing",0.6644713965
64,14,"6. Lockdown 2 easing",0.382144158
80,14,"6. Lockdown 2 easing",0.178353153
4,24,"6. Lockdown 2 easing",0.83911897
14,24,"6. Lockdown 2 easing",1.611601931
24,24,"6. Lockdown 2 easing",1.006256247
34,24,"6. Lockdown 2 easing",1.059983846
44,24,"6. Lockdown 2 easing",0.691894655
54,24,"6. Lockdown 2 easing",0.492438352
64,24,"6. Lockdown 2 easing",0.740953637
80,24,"6. Lockdown 2 easing",0.533237239
4,34,"6. Lockdown 2 easing",1.683611528
14,34,"6. Lockdown 2 easing",1.853671079
24,34,"6. Lockdown 2 easing",0.758835159
34,34,"6. Lockdown 2 easing",0.640176006
44,34,"6. Lockdown 2 easing",0.870277333
54,34,"6. Lockdown 2 easing",0.609054096
64,34,"6. Lockdown 2 easing",0.511694559
80,34,"6. Lockdown 2 easing",0.486570074
4,44,"6. Lockdown 2 easing",0.835178869
14,44,"6. Lockdown 2 easing",2.245100577
24,44,"6. Lockdown 2 easing",1.205392907
34,44,"6. Lockdown 2 easing",0.421768209
44,44,"6. Lockdown 2 easing",0.56379137
54,44,"6. Lockdown 2 easing",0.700670135
64,44,"6. Lockdown 2 easing",0.585560257
80,44,"6. Lockdown 2 easing",0.406613017
4,54,"6. Lockdown 2 easing",0.387945149
14,54,"6. Lockdown 2 easing",1.42575351
24,54,"6. Lockdown 2 easing",0.974106407
34,54,"6. Lockdown 2 easing",0.676602104
44,54,"6. Lockdown 2 easing",0.50500269
54,54,"6. Lockdown 2 easing",0.624297981
64,54,"6. Lockdown 2 easing",0.827586716
80,54,"6. Lockdown 2 easing",0.623254449
4,64,"6. Lockdown 2 easing",0.222631382
14,64,"6. Lockdown 2 easing",0.514663945
24,64,"6. Lockdown 2 easing",0.294658381
34,64,"6. Lockdown 2 easing",0.38678075
